Date,Open,High,Low,Close,Volume
2024-01-17,433.6,434.48,431.81,434.07,6044611
2024-01-16,436.79,437.98,434.74,436.5,5730839
2024-01-12,439.11,439.8,436.73,437.99,5182669
2024-01-11,438.94,439.355,434.0,437.79,4796587
2024-01-10,435.77,438.735,435.48,437.94,4278841
2024-01-09,433.62,436.43,433.1633,435.07,7939567
2024-01-08,430.45,436.27,430.37,436.13,7222362
2024-01-05,429.59,432.3,428.64,429.98,5693235
2024-01-04,430.33,432.78,429.21,429.43,3945259
2024-01-03,432.32,433.0,430.25,430.79,4805049
2024-01-02,433.91,435.27,432.36,434.01,9076041
2023-12-29,437.87,438.34,434.94,436.8,4376885
2023-12-28,438.25,438.84,437.66,437.97,4703655
2023-12-27,436.895,438.02,436.42,437.9,4250474
2023-12-26,435.6656,437.92,435.58,437.1,3835837
2023-12-22,435.46,436.838,433.48,435.29,4037829
2023-12-21,433.13,434.64,430.8552,434.28,4621606
2023-12-20,435.51,437.305,429.9,430.09,5783234
2023-12-19,436.04,438.22,435.95,438.19,4037929
2023-12-18,434.64,436.4,434.45,435.54,4280475
2023-12-15,433.19,434.25,432.24,433.09,5326041
2023-12-14,434.22,435.3642,431.24,433.75,8349143
2023-12-13,426.88,432.61,426.51,432.48,8659116
2023-12-12,424.22,426.67,423.2739,426.67,5982557
2023-12-11,422.41,424.71,422.22,424.56,5247086
2023-12-08,420.37,423.37,420.15,422.92,5125278
2023-12-07,419.81,421.67,419.28,421.13,3248251
2023-12-06,421.61,421.67,417.46,417.86,4187876
2023-12-05,418.34,420.47,418.0,419.61,3419283
2023-12-04,418.65,419.87,417.5,419.74,5806079
2023-12-01,418.83,422.37,418.25,421.86,4973625
2023-11-30,418.54,419.7,416.57,419.4,4405690
2023-11-29,420.0594,421.12,417.365,417.78,4092618
2023-11-28,417.25,419.25,416.71,418.05,3382442
2023-11-27,417.79,418.5273,417.23,417.64,3632552
2023-11-24,418.19,418.49,417.84,418.37,1351272
2023-11-22,418.07,419.31,417.06,418.14,3694064
2023-11-21,416.4,416.84,415.3,416.34,5248187
2023-11-20,413.99,418.2,413.9799,417.43,3524412
2023-11-17,413.94,414.79,412.87,414.31,4700139
2023-11-16,412.74,413.95,411.75,413.7,3798889
2023-11-15,413.54,414.72,412.37,413.12,4414807
2023-11-14,410.04,413.51,409.8856,412.22,6973115
2023-11-13,403.59,405.49,402.82,404.45,2872941
2023-11-10,400.59,405.109,399.14,404.86,3994439
2023-11-09,402.81,402.88,398.21,398.64,4145615
2023-11-08,401.99,402.5026,399.56,401.67,3731858
2023-11-07,400.26,402.04,399.23,401.34,3358578
2023-11-06,400.12,400.733,398.46,400.21,4007105
2023-11-03,397.92,400.85,397.84,399.44,5981435
2023-11-02,391.93,395.9096,391.92,395.78,4752164
2023-11-01,385.09,389.08,384.62,388.4,5549159
2023-10-31,382.35,384.48,380.56,384.17,4523160
2023-10-30,379.91,382.8,378.71,381.86,5795761
2023-10-27,380.53,380.89,375.945,377.32,5638752
2023-10-26,382.63,383.3971,378.15,379.0,6959401
2023-10-25,387.6,387.68,383.12,383.71,5471214
2023-10-24,388.28,390.26,386.55,389.2,4451513
2023-10-23,385.48,389.94,383.85,386.31,5537131
2023-10-20,391.38,391.82,386.84,386.99,7549614
2023-10-19,395.97,397.6,391.135,391.87,6708903
2023-10-18,398.89,399.81,394.22,395.22,7329261
2023-10-17,397.63,402.5,397.3075,400.58,4214609
2023-10-16,398.57,401.6,398.34,400.57,5150941
2023-10-13,399.81,400.96,394.96,396.42,3772219
2023-10-12,401.48,401.8,396.2,398.52,3872929
2023-10-11,400.27,401.09,397.99,400.93,4181784
2023-10-10,397.77,401.68,397.3875,399.24,3289640
2023-10-09,392.8,397.69,392.31,397.19,2959502
2023-10-06,387.69,396.085,386.4104,394.56,4897219
2023-10-05,389.89,390.7889,386.95,389.91,3329091
2023-10-04,387.73,390.85,386.4,390.24,4333740
2023-10-03,390.58,391.93,386.03,387.39,6886663
2023-10-02,391.9,393.7599,389.97,392.67,5886153
2023-09-29,396.62,396.74,391.3,392.7,5766585
2023-09-28,390.87,395.27,390.33,393.64,4065775
2023-09-27,393.84,394.39,389.45,392.85,4837698
2023-09-26,395.72,396.36,391.96,392.76,5734734
2023-09-25,395.76,398.6392,395.37,398.61,3227900
2023-09-22,398.795,400.326,396.555,396.96,7206528
2023-09-21,401.8,402.05,397.69,397.92,4633139
2023-09-20,409.46,409.84,404.33,404.55,4009415
2023-09-19,408.22,408.805,405.71,408.37,3629773
2023-09-18,408.58,410.34,408.16,409.19,3014571
2023-09-15,412.34,412.67,408.48,408.74,4004030
2023-09-14,412.67,414.51,411.42,413.9,3660901
2023-09-13,410.03,411.4,408.99,410.35,2529748
2023-09-12,410.7,412.15,409.29,409.87,7595296
2023-09-11,411.88,412.38,410.29,412.08,3346563
2023-09-08,408.82,410.84,408.49,409.39,4125223
2023-09-07,407.17,409.43,406.855,408.83,2245759
2023-09-06,412.1,412.13,407.83,410.05,3744068
2023-09-05,414.2,414.47,412.77,412.9,4426687
2023-09-01,416.46,416.88,413.21,414.71,3587971
2023-08-31,414.982,416.12,413.66,413.83,4751131
2023-08-30,413.03,415.0292,412.4,414.36,3004516
2023-08-29,406.78,412.98,406.57,412.64,3482664
2023-08-28,406.36,407.44,405.1,406.86,3236711
2023-08-25,403.08,405.8,399.71,404.2,4417835
2023-08-24,408.6,409.079,401.4,401.54,3458791
2023-08-23,403.56,407.67,403.47,406.95,3249964
2023-08-22,405.35,405.4,402.06,402.61,2648051
2023-08-21,402.14,404.39,399.99,403.74,3292434
2023-08-18,398.17,402.02,397.85,401.09,4157667
2023-08-17,405.33,405.58,400.37,400.72,7102504
2023-08-16,406.59,408.11,403.87,403.99,3353653
2023-08-15,410.09,411.7125,406.41,407.0,4686119
2023-08-14,408.56,411.74,408.31,411.72,2772912
2023-08-11,407.95,410.41,407.34,409.41,2918862
2023-08-10,411.8,415.05,408.62,409.79,4588326
2023-08-09,412.66,412.73,408.85,409.55,3145934
2023-08-08,411.76,412.74,409.125,412.29,3780086
2023-08-07,412.29,414.24,411.64,414.08,2597977
2023-08-04,414.15,416.1285,410.03,410.38,5717266
2023-08-03,411.68,414.19,411.09,412.4,3028199
2023-08-02,416.46,416.7,412.88,413.57,4979068
2023-08-01,419.26,420.08,418.55,419.38,3137275
2023-07-31,420.32,420.97,419.05,420.68,3454537
2023-07-28,418.93,420.62,418.16,419.87,2702729
2023-07-27,421.79,422.15,414.92,415.82,4149443
2023-07-26,417.62,419.89,416.58,418.66,6138837
2023-07-25,417.08,419.65,417.0674,418.56,3949308
2023-07-24,416.58,418.1,416.015,417.33,3471126
2023-07-21,417.11,417.3,415.48,415.57,3176713
2023-07-20,417.3,418.16,414.82,415.52,4084997
2023-07-19,418.07,419.37,417.49,418.25,3494916
2023-07-18,413.91,417.93,413.54,417.35,3597284
2023-07-17,412.65,415.2495,412.63,414.21,2968267
2023-07-14,413.94,414.71,412.08,412.77,3680945
2023-07-13,411.54,413.81,411.13,413.1,3273427
2023-07-12,410.19,411.13,408.79,409.76,4246359
2023-07-11,404.77,407.0,403.77,406.56,3181871
2023-07-10,402.63,404.11,402.06,403.97,3362277
2023-07-07,403.03,406.679,402.71,402.89,3673249
2023-07-06,403.78,404.35,401.56,403.83,6040271
2023-07-05,406.01,407.84,406.01,407.15,4234124
2023-07-03,406.92,408.06,406.68,408.06,2372019
2023-06-30,405.4,408.22,405.29,407.28,5173692
2023-06-29,400.6,402.67,400.19,402.51,3914849
2023-06-28,401.35,403.485,400.71,402.55,4320672
2023-06-27,398.8,402.93,398.39,402.37,4302361
2023-06-26,399.04,400.86,397.73,397.96,3250700
2023-06-23,399.33,401.28,398.93,399.61,4215307
2023-06-22,400.28,402.72,399.95,402.63,3141021
2023-06-21,402.31,403.06,400.67,401.17,3423543
2023-06-20,403.49,404.32,401.26,403.38,4246881
2023-06-16,408.69,408.76,404.89,405.25,5141885
2023-06-15,401.0,407.93,400.89,406.75,5284984
2023-06-14,401.61,403.436,398.46,401.6,5161278
2023-06-13,400.019,401.85,399.4,401.29,3913085
2023-06-12,395.98,398.685,395.3,398.66,3797245
2023-06-09,395.05,396.93,394.08,395.03,3062868
2023-06-08,391.96,394.73,391.29,394.37,3460351
2023-06-07,393.67,394.76,391.54,392.02,3942893
2023-06-06,392.05,393.79,391.41,393.31,2894663
2023-06-05,393.54,394.77,391.79,392.5,3481154
2023-06-02,390.08,393.96,389.54,393.26,7368902
2023-06-01,384.2,388.57,382.97,387.57,3563555
2023-05-31,384.31,385.16,382.42,383.89,4164677
2023-05-30,387.76,388.26,384.76,385.99,3968451
2023-05-26,381.64,386.57,381.535,385.87,3042792
2023-05-25,380.99,382.28,378.92,380.92,3315872
2023-05-24,378.91,379.25,376.57,377.63,3611592
2023-05-23,383.19,384.11,380.08,380.48,2887264
2023-05-22,384.66,386.23,383.47,384.78,2784012
2023-05-19,386.02,386.54,383.44,384.57,3649043
2023-05-18,381.26,385.57,381.0,385.18,3340620
2023-05-17,378.85,382.09,377.28,381.45,3222645
2023-05-16,378.39,379.28,376.91,376.95,2277616
2023-05-15,378.74,379.84,376.91,379.46,3882561
2023-05-12,379.85,380.01,375.835,378.15,2531015
2023-05-11,378.47,378.88,376.67,378.66,2676622
2023-05-10,380.28,380.83,375.64,379.19,3512947
2023-05-09,377.71,378.58,377.33,377.54,2271049
2023-05-08,379.41,379.62,377.88,379.18,2957618
2023-05-05,375.74,380.09,375.43,378.97,3139394
2023-05-04,373.84,374.11,370.92,372.14,4421484
2023-05-03,377.91,380.2,374.6,374.88,5513039
2023-05-02,381.06,381.11,374.67,377.51,4311590
2023-05-01,381.73,383.64,381.52,381.79,3069297
2023-04-28,378.04,382.12,378.0,382.05,3386907
2023-04-27,373.89,379.13,373.67,378.81,4302377
2023-04-26,373.66,374.68,370.98,371.44,3743370
2023-04-25,377.18,377.7,373.02,373.1,3795428
2023-04-24,378.48,379.47,377.23,379.09,2310373
2023-04-21,378.68,379.1,376.82,378.59,2762306
2023-04-20,377.78,380.07,376.94,378.37,2953173
2023-04-19,378.73,381.33,378.67,380.52,2671311
2023-04-18,381.84,381.915,379.24,380.54,3019268
2023-04-17,378.84,380.32,377.68,380.28,2705286
2023-04-14,379.27,381.33,376.72,378.99,2981653
2023-04-13,375.91,380.17,375.4448,379.77,2680870
2023-04-12,378.4,378.62,374.32,374.91,3624173
2023-04-11,376.9,377.76,375.69,376.41,3069001
2023-04-10,373.55,376.39,372.96,376.36,2671117
2023-04-06,373.67,376.185,372.72,375.95,3076223
2023-04-05,374.71,375.42,372.89,374.52,3227735
2023-04-04,378.19,378.4,374.13,375.43,2713278
2023-04-03,375.6,377.91,375.22,377.56,3525296
2023-03-31,371.78,376.34,371.65,376.07,4159844
2023-03-30,371.23,371.48,369.102,370.89,3316742
2023-03-29,367.4,368.94,366.29,368.69,3636069
2023-03-28,363.54,364.2,361.682,363.52,2413653
2023-03-27,365.725,366.43,363.4,364.16,4144795
2023-03-24,359.98,363.63,357.72,363.56,3740941
2023-03-23,364.48,368.286,360.12,362.64,4787193
2023-03-22,367.78,371.219,361.66,361.78,4094840
2023-03-21,366.42,368.41,364.88,367.88,4117629
2023-03-20,360.47,363.58,359.82,363.13,3099753
2023-03-17,362.76,363.79,358.4201,359.88,5189907
2023-03-16,355.54,364.26,354.99,363.86,5049842
2023-03-15,354.46,357.88,352.565,357.74,6610393
2023-03-14,358.88,361.51,355.63,359.96,4798811
2023-03-13,350.76,358.67,349.76,354.08,6478693
2023-03-10,359.33,361.24,353.14,354.68,8360402
2023-03-09,367.35,368.88,358.85,359.84,4409629
2023-03-08,366.11,367.2987,364.44,366.55,2906258
2023-03-07,371.63,371.89,365.385,365.98,3546141
2023-03-06,372.26,374.44,371.3,371.73,2638325
2023-03-03,367.29,371.67,366.7,371.28,4913599
2023-03-02,360.81,366.36,360.53,365.49,2730814
2023-03-01,363.34,364.51,361.45,362.78,3764724
2023-02-28,365.01,366.86,364.05,364.11,3022200
2023-02-27,367.49,368.77,364.5936,365.49,3300148
2023-02-24,363.31,365.03,361.73,364.23,4055007
2023-02-23,369.07,369.57,364.13,368.17,2867193
2023-02-22,367.18,368.6,364.84,366.33,3872004
2023-02-21,370.4,371.335,366.48,366.79,3109176
2023-02-17,373.179,374.45,371.32,374.22,3285327
2023-02-16,375.66,379.43,375.09,375.19,3077501
2023-02-15,377.15,380.53,376.33,380.48,2831621
2023-02-14,377.96,381.42,375.45,379.21,4718037
2023-02-13,375.649,379.44,375.2,379.35,2980600
2023-02-10,373.0,375.39,372.2,375.02,3256705
2023-02-09,380.97,381.0,372.9486,374.11,3327715
2023-02-08,379.69,380.93,376.73,377.34,2921503
2023-02-07,375.79,382.7468,374.62,381.52,4504633
2023-02-06,376.575,377.93,375.02,376.66,2880098
2023-02-03,378.23,383.2,377.79,378.85,6472509
2023-02-02,381.25,384.41,379.4,382.94,5207926
2023-02-01,372.44,380.16,369.76,377.53,4941692
2023-01-31,368.61,373.54,368.33,373.44,4181686
2023-01-30,370.15,372.29,367.86,368.21,3280594
2023-01-27,370.89,375.08,370.76,372.87,5549522
2023-01-26,370.46,372.06,367.61,371.81,3460934
2023-01-25,363.78,368.16,361.66,367.88,3061683
2023-01-24,366.57,368.61,365.42,367.75,2702380
2023-01-23,364.51,370.0,363.65,368.14,3243283
2023-01-20,358.45,363.91,356.88,363.71,3265062
2023-01-19,357.76,359.355,355.85,357.14,3514877
2023-01-18,366.67,367.66,359.58,359.73,3931803
2023-01-17,366.19,367.72,364.87,365.67,4942003
2023-01-13,361.6807,366.7297,361.47,366.23,3015160
2023-01-12,364.48,366.15,360.6,364.81,4743460
2023-01-11,360.41,363.51,359.66,363.45,5710532
2023-01-10,355.84,358.95,354.96,358.87,3495719
2023-01-09,358.73,361.73,356.2214,356.33,3775322
2023-01-06,351.59,357.67,348.7399,356.59,3464777
2023-01-05,350.73,350.8,348.06,348.66,3216538
2023-01-04,352.1,354.5635,349.2,352.51,3119087
2023-01-03,353.181,355.0423,347.19,349.99,4957334
2022-12-30,349.79,351.49,347.7635,351.34,5325447
2022-12-29,348.91,353.125,348.47,352.31,4086575
2022-12-28,350.42,352.2,345.9,346.17,4464644
2022-12-27,351.76,352.04,348.85,350.47,4303215
2022-12-23,348.93,351.9479,347.35,351.87,4571981
2022-12-22,351.98,352.25,344.34,349.91,6462233
2022-12-21,352.2,355.9516,351.7,354.9,3832448
2022-12-20,348.45,351.165,347.208,349.67,5068210
2022-12-19,354.13,354.34,349.25,350.81,5538489
2022-12-16,355.649,356.83,351.79,353.86,4533074
2022-12-15,362.47,363.24,356.46,358.13,5126752
2022-12-14,369.1,372.8,364.25,367.16,4707115
2022-12-13,377.11,377.19,366.801,369.39,6161825
2022-12-12,362.28,366.68,361.58,366.68,2946216
2022-12-09,363.0,365.4402,361.3403,361.52,4271355
2022-12-08,363.13,365.15,361.6,364.18,3604516
2022-12-07,361.05,363.61,360.31,361.33,3337977
2022-12-06,367.09,367.61,359.931,362.03,3911040
2022-12-05,371.28,372.19,365.99,367.34,3706993
2022-12-02,369.66,374.88,369.66,374.0,3595984
2022-12-01,375.87,377.0,372.05,374.54,4608628
2022-11-30,363.45,374.59,361.65,374.49,4748832
2022-11-29,363.93,365.18,361.48,363.31,2507770
2022-11-28,366.86,368.38,363.15,363.95,3557001
2022-11-25,369.39,370.34,369.06,369.8,1423444
2022-11-23,367.21,370.3599,367.0225,369.84,2590859
2022-11-22,364.51,367.68,363.21,367.54,2315964
2022-11-21,362.77,363.7386,360.87,362.71,2397875
2022-11-18,365.46,365.59,361.23,363.99,2574370
2022-11-17,358.8,362.99,358.565,362.39,3284424
2022-11-16,364.7,365.52,362.85,363.44,2755123
2022-11-15,368.65,369.742,362.59,366.22,4597800
2022-11-14,364.57,367.79,362.89,363.22,5274312
2022-11-11,363.69,367.02,361.74,366.16,4877385
2022-11-10,356.52,363.01,354.41,362.69,4603632
2022-11-09,349.08,350.22,343.3581,343.87,3570793
2022-11-08,350.21,353.87,347.08,351.04,3237196
2022-11-07,347.06,349.71,345.1,349.14,3316597
2022-11-04,346.41,348.02,340.0,345.82,3655444
2022-11-03,341.34,343.81,338.9,340.83,4534774
2022-11-02,352.78,357.125,344.41,344.5,5022535
2022-11-01,358.53,358.765,352.29,353.52,8014279
2022-10-31,355.16,356.92,354.05,354.95,6430961
2022-10-28,349.04,357.98,348.95,357.38,4388078
2022-10-27,352.05,353.79,348.595,349.23,4145263
2022-10-26,350.7,356.17,350.44,351.11,4277708
2022-10-25,348.05,354.03,348.03,353.75,5203396
2022-10-24,345.45,349.23,342.87,348.09,5639417
2022-10-21,335.5,344.3905,334.13,343.9,4362430
2022-10-20,338.17,342.42,335.05,335.83,3459059
2022-10-19,339.04,341.67,335.9,338.61,4403233
2022-10-18,344.68,345.0,337.765,340.97,4903278
2022-10-17,334.57,338.1,334.46,337.0,3889516
2022-10-14,338.62,340.19,328.025,328.65,4883998
2022-10-13,320.84,337.675,319.87,336.22,6396891
2022-10-12,329.15,330.58,327.44,327.64,3235062
2022-10-11,329.2,333.56,326.85,328.66,4968108
2022-10-10,334.47,334.67,328.66,330.84,3933860
2022-10-07,339.08,339.34,331.65,333.33,5168076
2022-10-06,345.18,347.98,342.49,342.96,3879612
2022-10-05,343.12,348.64,340.86,346.61,4755772
2022-10-04,342.14,347.33,342.13,347.21,5109957
2022-10-03,331.79,338.66,330.1,336.98,5738997
2022-09-30,332.57,336.19,328.12,328.3,7736631
2022-09-29,337.15,337.3,330.53,333.38,7230121
2022-09-28,334.8,342.1,333.18,340.48,8683949
2022-09-27,339.79,341.84,333.08,335.39,5795659
2022-09-26,338.23,341.66,335.07,336.34,5405686
2022-09-23,342.08,342.08,335.31,339.63,10491491
2022-09-22,347.55,348.54,344.67,345.37,5540518
2022-09-21,356.38,359.3,348.31,348.31,5102402
2022-09-20,355.38,356.38,351.8332,354.55,3623962
2022-09-19,352.8,358.59,352.75,358.59,3412645
2022-09-16,354.56,356.48,352.69,355.86,4452268
2022-09-15,361.16,363.97,357.4,358.68,3807460
2022-09-14,362.58,364.17,359.53,362.73,3555510
2022-09-13,369.34,370.53,360.2801,361.38,5549174
2022-09-12,375.82,378.51,375.51,377.86,2961354
2022-09-09,370.24,374.61,369.98,373.75,2621561
2022-09-08,363.375,368.48,362.27,368.07,3692037
2022-09-07,358.86,366.375,358.6904,365.68,4136951
2022-09-06,361.36,362.28,357.0,359.24,5603733
2022-09-02,367.95,369.13,358.78,360.45,4544223
2022-09-01,361.1,364.7,358.51,364.27,6126838
2022-08-31,367.61,368.79,363.11,363.15,4062539
2022-08-30,371.3,371.445,364.02,366.03,5044536
2022-08-29,369.77,373.05,368.78,370.05,4647553
2022-08-26,385.55,386.05,372.51,372.51,5153160
2022-08-25,381.76,385.73,380.7,385.73,2631290
2022-08-24,378.9,381.58,378.18,380.19,2241245
2022-08-23,379.56,381.87,378.5233,379.04,2869184
2022-08-22,383.43,383.54,379.09,379.94,4153718
2022-08-19,390.7,390.95,387.25,388.12,2899030
2022-08-18,392.42,394.02,391.17,393.55,3258081
2022-08-17,391.56,394.85,390.2931,392.34,3222325
2022-08-16,393.24,396.89,392.44,395.04,3864849
2022-08-15,390.49,394.76,390.46,394.35,3203933
2022-08-12,387.95,392.72,387.09,392.67,3664357
2022-08-11,388.87,390.65,385.4,386.06,3575370
2022-08-10,384.99,386.23,383.1,386.06,3650992
2022-08-09,379.02,379.41,377.1,378.14,2360524
2022-08-08,381.78,383.9068,378.57,379.64,3455348
2022-08-05,376.65,380.7,376.54,379.98,2852090
2022-08-04,380.88,381.53,379.19,380.77,3410631
2022-08-03,377.19,382.1,376.91,381.07,3854779
2022-08-02,376.11,379.627,373.95,375.21,4132588
2022-08-01,376.12,380.01,375.44,377.65,4421369
2022-07-29,374.73,379.66,373.93,378.79,5246413
2022-07-28,369.42,373.91,365.98,373.32,4345335
2022-07-27,362.49,370.33,362.2205,368.66,4500264
2022-07-26,362.12,362.21,358.4501,359.25,2987190
2022-07-25,363.84,364.44,361.45,363.61,3902230
2022-07-22,366.69,367.84,361.01,363.25,4533862
2022-07-21,362.36,366.62,360.01,366.59,4603979
2022-07-20,360.7,364.2399,359.45,362.92,4270636
2022-07-19,354.95,361.09,354.25,360.61,3620152
2022-07-18,356.97,357.62,349.92,351.08,3544880
2022-07-15,351.73,354.11,349.8,354.01,4520475
2022-07-14,343.41,347.95,341.045,347.44,4624840
2022-07-13,344.74,351.0,344.37,348.36,5603536
2022-07-12,352.6,354.9,348.38,349.99,4080271
2022-07-11,354.84,355.57,352.51,353.25,3491695
2022-07-08,355.9058,359.05,354.471,357.29,4791341
2022-07-07,354.01,358.3,354.0,357.5,3737478
2022-07-06,351.23,354.68,348.93,352.33,5450928
2022-07-05,345.48,351.1,342.78,351.06,6180564
2022-07-01,346.16,350.83,343.59,350.44,7481480
2022-06-30,345.88,349.84,342.45,346.88,7159599
2022-06-29,350.43,351.36,347.81,349.64,3775861
2022-06-28,360.08,362.835,350.9,350.9,8801780
2022-06-27,361.0,361.15,357.57,358.65,4608590
2022-06-24,352.03,360.02,351.97,360.0,5458559
2022-06-23,347.63,349.61,344.14,349.13,6708774
2022-06-22,342.08,349.51,341.6348,345.5,4876060
2022-06-21,343.19,347.5,343.11,346.23,5628348
2022-06-17,337.31,340.87,334.24,337.95,7083981
2022-06-16,340.48,340.84,334.57,337.07,8821869
2022-06-15,346.82,352.84,341.97,348.52,7887624
2022-06-14,346.37,347.32,340.57,343.6,7584190
2022-06-13,349.11,350.8353,343.06,344.46,10399708
2022-06-10,362.93,363.69,358.23,358.27,7629693
2022-06-09,376.24,378.44,369.02,369.1,3021979
2022-06-08,380.5,382.23,377.26,377.99,3436443
2022-06-07,375.16,382.61,374.71,382.17,2649857
2022-06-06,381.33,382.96,377.41,378.47,2659482
2022-06-03,379.11,380.6,376.48,377.44,2749538
2022-06-02,376.41,383.74,374.2,383.65,3273721
2022-06-01,381.61,382.64,374.1,376.5,4245818
2022-05-31,380.23,382.85,376.92,379.68,5016514
2022-05-27,374.94,381.86,374.8,381.8,3911790
2022-05-26,366.445,374.13,366.27,372.46,4248253
2022-05-25,360.54,367.16,360.27,365.2,5704600
2022-05-24,360.85,363.21,355.7,362.18,5567301
2022-05-23,361.09,365.57,358.85,364.81,5254915
2022-05-20,361.41,361.95,349.76,358.02,8755856
2022-05-19,357.17,362.23,355.85,357.93,6359477
2022-05-18,370.98,371.16,359.0,360.34,6883570
2022-05-17,373.66,375.56,370.08,375.2,4513309
2022-05-16,367.71,371.35,365.45,367.84,4719840
2022-05-13,364.73,370.58,363.6416,369.16,5377437
2022-05-12,357.835,363.75,354.02,360.65,7679237
2022-05-11,365.97,371.36,360.27,360.93,8026944
2022-05-10,371.9,373.22,362.91,366.84,7870750
2022-05-09,372.36,373.56,364.5,365.9,10793230
2022-05-06,378.01,381.28,372.95,378.1,7959647
2022-05-05,390.22,390.31,376.35,380.49,10477253
2022-05-04,383.35,394.925,380.28,394.34,7344049
2022-05-03,381.62,385.0556,380.0,382.73,5607696
2022-05-02,378.79,382.27,372.33,381.08,10737019
2022-04-29,389.42,391.45,378.0,378.7,8221944
2022-04-28,388.23,394.9,383.87,393.14,7036192
2022-04-27,383.5,388.75,381.5,383.53,6415702
2022-04-26,391.4,391.59,382.44,382.54,8351899
2022-04-25,389.42,394.0584,385.0,393.8,8141182
2022-04-22,401.67,401.885,391.1,391.66,6326437
2022-04-21,412.38,413.68,401.8,402.65,4670153
2022-04-20,410.82,411.39,407.67,408.71,4945250
2022-04-19,402.58,409.77,402.36,409.02,3841510
2022-04-18,401.55,404.22,400.44,402.59,4305868
2022-04-14,407.72,408.78,402.34,402.52,3735679
2022-04-13,402.57,408.2,402.48,407.47,4358710
2022-04-12,407.33,409.71,401.37,402.92,6615813
2022-04-11,408.5,409.0592,403.925,404.4,3342784
2022-04-08,411.85,414.22,409.98,411.53,4752812
2022-04-07,409.6,414.3,407.74,412.53,4954053
2022-04-06,410.76,412.66,407.64,410.46,5540716
2022-04-05,418.56,420.82,413.5,414.66,3956102
2022-04-04,416.45,419.96,415.72,419.85,5117208
2022-04-01,416.68,416.818,412.87,416.32,4663067
2022-03-31,420.97,421.67,415.05,415.17,5876639
2022-03-30,423.26,424.01,419.59,421.65,4794334
2022-03-29,422.96,424.72,420.25,424.29,5510554
2022-03-28,415.5,419.05,413.69,418.99,3395334
2022-03-25,414.79,416.3581,412.205,416.12,3496451
2022-03-24,409.89,414.1,408.81,414.02,2977317
2022-03-23,412.16,413.62,409.29,409.33,3742563
2022-03-22,411.2,415.52,411.2,414.67,4180514
2022-03-21,409.84,411.75,406.43,409.91,4137298
2022-03-18,403.98,410.28,403.24,409.89,5666909
2022-03-17,398.64,405.56,398.3,405.41,5177527
2022-03-16,395.5,400.55,390.55,400.51,7407331
2022-03-15,385.86,392.37,384.63,391.75,5739361
2022-03-14,387.07,390.268,382.25,383.34,6454976
2022-03-11,393.62,394.1899,385.68,386.16,5872799
